League,Season,Position,Team,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,FinalPoints
Major League Soccer,2018,10,Columbus Crew SC,34,14,9,11,43,45,-2,51
Major League Soccer,2018,9,D.C. United,34,14,9,11,60,50,10,51
Major League Soccer,2018,6,FC Dallas,34,16,9,9,52,44,8,57
Major League Soccer,2018,17,Houston Dynamo,34,10,8,16,58,58,0,38
Major League Soccer,2018,13,LA Galaxy,34,13,9,12,66,64,2,48
Major League Soccer,2018,5,Los Angeles FC,34,16,9,9,68,52,16,57
Major League Soccer,2018,18,Minnesota United FC,34,11,3,20,49,71,-22,36
Major League Soccer,2018,15,Montreal Impact,34,14,4,16,47,53,-6,46
Major League Soccer,2018,16,New England Revolution,34,10,11,13,49,55,-6,41
Major League Soccer,2018,7,New York City FC,34,16,8,10,59,45,14,56
Major League Soccer,2018,1,New York Red Bulls,34,22,5,7,62,33,29,71
Major League Soccer,2018,22,Orlando City SC,34,8,4,22,43,74,-31,28
Major League Soccer,2018,11,Philadelphia Union,34,15,5,14,49,50,-1,50
Major League Soccer,2018,8,Portland Timbers,34,15,9,10,54,48,6,54
Major League Soccer,2018,12,Real Salt Lake,34,14,7,13,55,58,-3,49
Major League Soccer,2018,23,San Jose Earthquakes,34,4,9,21,49,71,-22,21
Major League Soccer,2018,4,Seattle Sounders FC,34,18,5,11,52,37,15,59
Major League Soccer,2018,3,Sporting Kansas City,34,18,8,8,65,40,25,62
Major League Soccer,2018,19,Toronto FC,34,10,6,18,59,64,-5,36
Major League Soccer,2018,14,Vancouver Whitecaps FC,34,13,8,13,54,67,-13,47
Major League Soccer,2019,3,Atlanta United FC,34,18,4,12,58,43,15,58
Major League Soccer,2019,17,Chicago Fire,34,10,12,12,55,47,8,42
Major League Soccer,2019,16,Colorado Rapids,34,12,6,16,58,63,-5,42
Major League Soccer,2019,20,Columbus Crew SC,34,10,8,16,39,47,-8,38
Major League Soccer,2019,10,D.C. United,34,13,11,10,42,38,4,50
Major League Soccer,2019,24,FC Cincinnati,34,6,6,22,31,75,-44,24
Major League Soccer,2019,13,FC Dallas,34,13,9,12,54,46,8,48
Major League Soccer,2019,19,Houston Dynamo,34,12,4,18,49,59,-10,40
Major League Soccer,2019,8,LA Galaxy,34,16,3,15,58,59,-1,51
Major League Soccer,2019,1,Los Angeles FC,34,21,9,4,85,37,48,72
Major League Soccer,2019,7,Minnesota United FC,34,15,8,11,52,43,9,53
Major League Soccer,2019,18,Montreal Impact,34,12,5,17,47,60,-13,41
Major League Soccer,2019,14,New England Revolution,34,11,12,11,50,57,-7,45
Major League Soccer,2019,2,New York City FC,34,18,10,6,63,42,21,64
Major League Soccer,2019,12,New York Red Bulls,34,14,6,14,53,51,2,48
Major League Soccer,2019,22,Orlando City SC,34,9,10,15,44,52,-8,37
Major League Soccer,2019,5,Philadelphia Union,34,16,7,11,58,50,8,55
Major League Soccer,2019,11,Portland Timbers,34,14,7,13,52,49,3,49
Major League Soccer,2019,6,Real Salt Lake,34,16,5,13,46,41,5,53
Major League Soccer,2019,15,San Jose Earthquakes,34,13,5,16,52,55,-3,44
Major League Soccer,2019,4,Seattle Sounders FC,34,16,8,10,52,49,3,56
Major League Soccer,2019,21,Sporting Kansas City,34,10,8,16,49,67,-18,38
Major League Soccer,2019,9,Toronto FC,34,13,11,10,57,52,5,50
Major League Soccer,2019,23,Vancouver Whitecaps FC,34,8,10,16,37,59,-22,34
